credit_card_number,ipv4,Unnamed: 2
4013901026491,172.23.51.228,NULL
345936465222676,192.168.102.7,WA
4829769584081989,192.168.246.102,RI
30340825930914,192.168.222.52,TX
4302964471893676356,10.84.64.210,KS
4897487775841494,192.168.188.11,IA
3504134000927360,172.17.225.208,ME
343568314271448,10.159.127.41,OK
36795457706136,192.168.85.173,FL
213105387849185,192.168.249.162,IA
4158823194013915,192.168.19.169,ND
3557121809488039,192.168.99.101,OK
4411710233936193,192.168.248.223,PA
3593952520772269,192.168.189.168,OK
562632689286,10.198.220.41,CT
675979363636,172.21.115.184,MT
3506507615619043,10.172.55.81,DE
3560888773289883,10.186.58.92,UT
5128258542512744,10.65.191.187,NULL
4673436419900968,10.68.149.54,NULL
6011531195808785,192.168.216.58,NULL
3518829214836604,10.55.8.196,NULL
676342610232,10.102.242.118,NULL
503886101024,192.168.202.55,NULL
346979098869785,10.42.44.16,NULL
213175362057328,10.15.184.118,NULL
36828949701611,10.100.190.63,NULL
6011712584028793,192.168.6.95,NULL
4408482692580798,172.18.121.149,NULL
4716466790794127,172.28.210.180,NULL
4581622575175591,192.168.161.187,NULL
4534971465733250,10.30.201.50,NULL
348623602717035,10.171.147.35,NULL
3562843917409457,10.55.9.217,NULL
3503861795779124,192.168.103.31,NULL
3548979454205467,10.70.135.161,NULL
4562223449118630453,10.27.205.211,NULL
5160813237111985,172.30.103.243,NULL
3500558499395149,192.168.6.241,NULL
4130253854633,10.166.74.223,NULL
3560320084927241,192.168.123.214,NULL
213172153235353,10.120.230.87,NULL
343924572576715,10.122.183.142,NULL
4183170112593,172.27.128.176,NULL
213151645209580,172.28.151.1,NULL
5579434556811330,10.242.223.198,NULL
4912298956727635308,192.168.189.188,NULL
5178628606737917,10.249.6.119,NULL
4614910245590,172.26.62.50,NULL
3567595471763241,172.21.146.161,NULL
581434804307,192.168.113.78,NULL
676278783995,172.23.185.18,NULL
6011308941262553,10.205.154.207,NULL
4803111518869,10.126.192.133,NULL
4056785570190661,10.8.151.102,NULL
4719240023513984818,10.15.9.233,NULL
3546938096541350,10.138.60.237,NULL
